Category,Namespace,Type Name,Attribute Name,Type,Cardinality,Definition
attribute,cdm.product.asset,RateSpecification,floatingRate,FloatingRateSpecification,(0..1),"The floating interest rate specification, which includes the definition of the floating rate index. the tenor, the initial value, and, when applicable, the spread, the rounding convention, the averaging method and the negative interest rate treatment."
attribute,cdm.product.asset,RateSpecification,inflationRate,InflationRateSpecification,(0..1),An inflation rate calculation definition.
data type,cdm.product.asset,DividendPayoutRatio,,,,"A class describing the dividend payout ratio associated with an equity underlier. In certain cases the actual ratio is not known on trade inception, and only general conditions are then specified."
attribute,cdm.product.asset,DividendPayoutRatio,totalRatio,number,(1..1),Specifies the total actual dividend payout ratio associated with the equity underlier. A ratio of 90% should be expressed at 0.90.
attribute,cdm.product.asset,DividendPayoutRatio,cashRatio,number,(0..1),Specifies the cash actual dividend payout ratio associated with the equity underlier. A ratio of 90% should be expressed at 0.90.
attribute,cdm.product.asset,DividendPayoutRatio,nonCashRatio,number,(0..1),Specifies the non cash actual dividend payout ratio associated with the equity underlier. A ratio of 90% should be expressed at 0.90.
attribute,cdm.product.asset,DividendPayoutRatio,basketConstituent,Product,(0..1),"In the case of a basket underlier, specifies to which component of the basket this particular set of dividend payout ratios correspond."
data type,cdm.product.asset,AdditionalFixedPayments,,,,A class to specify the events that will give rise to the payment additional fixed payments.
attribute,cdm.product.asset,AdditionalFixedPayments,interestShortfallReimbursement,boolean,(0..1),An additional Fixed Payment Event. Corresponds to the payment by or on behalf of the Issuer of an actual interest amount in respect to the reference obligation that is greater than the expected interest amount. ISDA 2003 Term: Interest Shortfall Reimbursement.
attribute,cdm.product.asset,AdditionalFixedPayments,principalShortfallReimbursement,boolean,(0..1),An additional Fixed Payment Event. Corresponds to the payment by or on behalf of the Issuer of an actual principal amount in respect to the reference obligation that is greater than the expected principal amount. ISDA 2003 Term: Principal Shortfall Reimbursement.
attribute,cdm.product.asset,AdditionalFixedPayments,writedownReimbursement,boolean,(0..1),An Additional Fixed Payment. Corresponds to the payment by or on behalf of the issuer of an amount in respect to the reference obligation in reduction of the prior writedowns. ISDA 2003 Term: Writedown Reimbursement.
data type,cdm.product.asset,BasketReferenceInformation,,,,CDS Basket Reference Information.
attribute,cdm.product.asset,BasketReferenceInformation,basketName,string,(0..1),The name of the basket expressed as a free format string. FpML does not define usage rules for this element.
attribute,cdm.product.asset,BasketReferenceInformation,basketId,string,(0..*),A CDS basket identifier.
attribute,cdm.product.asset,BasketReferenceInformation,referencePool,ReferencePool,(1..1),This element contains all the reference pool items to define the reference entity and reference obligation(s) in the basket.
attribute,cdm.product.asset,BasketReferenceInformation,nthToDefault,int,(0..1),N th reference obligation to default triggers payout.
attribute,cdm.product.asset,BasketReferenceInformation,mthToDefault,int,(0..1),M th reference obligation to default to allow representation of N th to M th defaults.
attribute,cdm.product.asset,BasketReferenceInformation,tranche,Tranche,(0..1),This element contains CDS tranche terms.
data type,cdm.product.asset,FloatingAmountEvents,,,,"A class to specify the ISDA terms relating to the floating rate payment events and the implied additional fixed payments, applicable to the credit derivatives transactions on mortgage-backed securities with pay-as-you-go or physical settlement."
attribute,cdm.product.asset,FloatingAmountEvents,failureToPayPrincipal,boolean,(0..1),A floating rate payment event. Corresponds to the failure by the Reference Entity to pay an expected principal amount or the payment of an actual principal amount that is less than the expected principal amount. ISDA 2003 Term: Failure to Pay Principal.
attribute,cdm.product.asset,FloatingAmountEvents,interestShortfall,InterestShortFall,(0..1),"A floating rate payment event. With respect to any Reference Obligation Payment Date, either (a) the non-payment of an Expected Interest Amount or (b) the payment of an Actual Interest Amount that is less than the Expected Interest Amount. ISDA 2003 Term: Interest Shortfall."
attribute,cdm.product.asset,FloatingAmountEvents,writedown,boolean,(0..1),A floating rate payment event. Results from the fact that the underlier writes down its outstanding principal amount. ISDA 2003 Term: Writedown.
attribute,cdm.product.asset,FloatingAmountEvents,impliedWritedown,boolean,(0..1),A floating rate payment event. Results from the fact that losses occur to the underlying instruments that do not result in reductions of the outstanding principal of the reference obligation.
attribute,cdm.product.asset,FloatingAmountEvents,floatingAmountProvisions,FloatingAmountProvisions,(0..1),Specifies the floating amount provisions associated with the floatingAmountEvents.
attribute,cdm.product.asset,FloatingAmountEvents,additionalFixedPayments,AdditionalFixedPayments,(0..1),Specifies the events that will give rise to the payment additional fixed payments.
data type,cdm.product.asset,FloatingAmountProvisions,,,,
attribute,cdm.product.asset,FloatingAmountProvisions,wacCapInterestProvision,boolean,(0..1),"As specified by the ISDA Supplement for use with trades on mortgage-backed securities, 'WAC Cap' means a weighted average coupon or weighted average rate cap provision (however defined in the Underlying Instruments) of the Underlying Instruments that limits, increases or decreases the interest rate or interest entitlement, as set out in the Underlying Instruments on the Effective Date without regard to any subsequent amendment The presence of the element with value set to 'true' signifies that the provision is applicable. From a usage standpoint, this provision is typically applicable in the case of CMBS and not applicable in case of RMBS trades."
attribute,cdm.product.asset,FloatingAmountProvisions,stepUpProvision,boolean,(0..1),"As specified by the ISDA Standard Terms Supplement for use with trades on mortgage-backed securities. The presence of the element with value set to 'true' signifies that the provision is applicable. If applicable, the applicable step-up terms are specified as part of that ISDA Standard Terms Supplement. From a usage standpoint, this provision is typically applicable in the case of RMBS and not applicable in case of CMBS trades."
data type,cdm.product.asset,CreditIndexReferenceInformation,,,,A class defining a Credit Default Swap Index.
attribute,cdm.product.asset,CreditIndexReferenceInformation,indexSeries,int,(0..1),"A CDS index series identifier, e.g. 1, 2, 3 etc."
attribute,cdm.product.asset,CreditIndexReferenceInformation,indexAnnexVersion,int,(0..1),"A CDS index series version identifier, e.g. 1, 2, 3 etc."
attribute,cdm.product.asset,CreditIndexReferenceInformation,indexAnnexDate,date,(0..1),A CDS index series annex date.
attribute,cdm.product.asset,CreditIndexReferenceInformation,indexAnnexSource,IndexAnnexSourceEnum,(0..1),A CDS index series annex source.
attribute,cdm.product.asset,CreditIndexReferenceInformation,excludedReferenceEntity,ReferenceInformation,(0..*),Excluded reference entity.
attribute,cdm.product.asset,CreditIndexReferenceInformation,tranche,Tranche,(0..1),This element contains CDS tranche terms.
attribute,cdm.product.asset,CreditIndexReferenceInformation,settledEntityMatrix,SettledEntityMatrix,(0..1),Used to specify the Relevant Settled Entity Matrix when there are settled entities at the time of the trade.
attribute,cdm.product.asset,CreditIndexReferenceInformation,indexFactor,number,(0..1),"Index Factor is the index version factor or percent, expressed as an absolute decimal value between 0 and 1, that multiplied by the original notional amount yields the notional amount covered by the seller of protection."
attribute,cdm.product.asset,CreditIndexReferenceInformation,seniority,CreditSeniorityEnum,(0..1),Seniority of debt instruments comprising the index.
data type,cdm.product.asset,InterestShortFall,,,,A class to specify the interest shortfall floating rate payment event.
attribute,cdm.product.asset,InterestShortFall,interestShortfallCap,InterestShortfallCapEnum,(1..1),Specifies the nature of the interest Shortfall cap (i.e. Fixed Cap or Variable Cap) in the case where it is applicable. ISDA 2003 Term: Interest Shortfall Cap.
attribute,cdm.product.asset,InterestShortFall,compounding,boolean,(1..1),
attribute,cdm.product.asset,InterestShortFall,rateSource,FloatingRateIndexEnum,(0..1),The rate source in the case of a variable cap.
data type,cdm.product.asset,ProtectionTerms,,,,"A class to specify the terms for calculating a payout to protect the buyer of the swap in the case of a qualified credit event. These terms include the applicable credit events, the reference obligation, and in the case of a CDS on mortgage-backed securities, the floatingAmountEvents."
attribute,cdm.product.asset,ProtectionTerms,creditEvents,CreditEvents,(0..1),"Specifies the applicable Credit Events that would trigger a settlement, as specified in the related Confirmation and defined in the ISDA 2014 Credit Definition article IV section 4.1."
attribute,cdm.product.asset,ProtectionTerms,obligations,Obligations,(0..1),"The underlying obligations of the reference entity on which you are buying or selling protection. The credit events Failure to Pay, Obligation Acceleration, Obligation Default, Restructuring, Repudiation/Moratorium are defined with respect to these obligations."
attribute,cdm.product.asset,ProtectionTerms,floatingAmountEvents,FloatingAmountEvents,(0..1),"This element contains the ISDA terms relating to the floating rate payment events and the implied additional fixed payments, applicable to the credit derivatives transactions on mortgage-backed securities with pay-as-you-go or physical settlement."
data type,cdm.product.asset,ReferenceInformation,,,,A class specifying the Credit Default Swap Reference Information.
attribute,cdm.product.asset,ReferenceInformation,referenceEntity,LegalEntity,(1..1),The corporate or sovereign entity which is subject to the swap transaction and any successor that assumes all or substantially all of its contractual and other obligations. Reference Entities cannot be senior or subordinated. It is the obligations of the Reference Entities that can be senior or subordinated. ISDA 2014 Credit definitions article II section 2.1: `Reference Entity` means the entity specified as such in the related Confirmation.
attribute,cdm.product.asset,ReferenceInformation,referenceObligation,ReferenceObligation,(0..*),"The Reference Obligation is a financial instrument that is either issued or guaranteed by the reference entity. It serves to clarify the precise reference entity protection is being offered upon, and its legal position with regard to other related firms (parents/subsidiaries). Furthermore the Reference Obligation is ALWAYS deliverable and establishes the Pari Passu ranking (as the deliverable bonds must rank equal to the reference obligation). ISDA 2003 Term: Reference Obligation."
attribute,cdm.product.asset,ReferenceInformation,noReferenceObligation,boolean,(0..1),Used to indicate that there is no Reference Obligation associated with this Credit Default Swap and that there will never be one.
attribute,cdm.product.asset,ReferenceInformation,unknownReferenceObligation,boolean,(0..1),"Used to indicate that the Reference obligation associated with the Credit Default Swap is currently not known. This is not valid for Legal Confirmation purposes, but is valid for earlier stages in the trade life cycle (e.g. Broker Confirmation)."
attribute,cdm.product.asset,ReferenceInformation,allGuarantees,boolean,(0..1),"Indicates whether an obligation of the Reference Entity, guaranteed by the Reference Entity on behalf of a non-Affiliate, is to be considered an Obligation for the purpose of the transaction. It will be considered an obligation if allGuarantees is applicable (true) and not if allGuarantees is inapplicable (false). ISDA 2003 Term: All Guarantees."
attribute,cdm.product.asset,ReferenceInformation,referencePrice,Price,(0..1),"Used to determine (a) for physically settled trades, the Physical Settlement Amount, which equals the Floating Rate Payer Calculation Amount times the Reference Price and (b) for cash settled trades, the Cash Settlement Amount, which equals the greater of (i) the difference between the Reference Price and the Final Price and (ii) zero. ISDA 2003 Term: Reference Price."
attribute,cdm.product.asset,ReferenceInformation,referencePolicy,boolean,(0..1),"Applicable to the transactions on mortgage-backed security, which can make use of a reference policy. Presence of the element with value set to 'true' indicates that the reference policy is applicable; absence implies that it is not."
attribute,cdm.product.asset,ReferenceInformation,securedList,boolean,(0..1),"With respect to any day, the list of Syndicated Secured Obligations of the Designated Priority of the Reference Entity published by Markit Group Limited or any successor thereto appointed by the Specified Dealers (the 'Secured List Publisher') on or most recently before such day, which list is currently available at [http://www.markit.com]. ISDA 2003 Term: Relevant Secured List."
data type,cdm.product.asset,ReferenceObligation,,,,A class to specify the reference obligation that is associated with a credit derivative instrument.
attribute,cdm.product.asset,ReferenceObligation,security,Security,(0..1),"Identifies the underlying asset when it is a security, such as a bond or convertible bond. The security data type requires one or more productIdentifiers, specificaiton of the security type (e.g. debt), and includes optional attributes to specify a debt class, such as asset-backed, as well as seniority."
attribute,cdm.product.asset,ReferenceObligation,loan,Loan,(0..1),Identifies the underlying asset when it is a loan.
attribute,cdm.product.asset,ReferenceObligation,primaryObligor,LegalEntity,(0..1),The entity primarily responsible for repaying debt to a creditor as a result of borrowing or issuing bonds. ISDA 2003 Term: Primary Obligor.
attribute,cdm.product.asset,ReferenceObligation,primaryObligorReference,LegalEntity,(0..1),A pointer style reference to a reference entity defined elsewhere in the document. Used when the reference entity is the primary obligor.
attribute,cdm.product.asset,ReferenceObligation,guarantor,LegalEntity,(0..1),The party that guarantees by way of a contractual arrangement to pay the debts of an obligor if the obligor is unable to make the required payments itself. ISDA 2003 Term: Guarantor.
attribute,cdm.product.asset,ReferenceObligation,guarantorReference,string,(0..1),A pointer style reference to a reference entity defined elsewhere in the document. Used when the reference entity is the guarantor.
attribute,cdm.product.asset,ReferenceObligation,standardReferenceObligation,boolean,(0..1),Indicates if the reference obligation is a Standard Reference Obligation. ISDA 2014 Term: Standard Reference Obligation.
data type,cdm.product.asset,ReferencePair,,,,
attribute,cdm.product.asset,ReferencePair,referenceEntity,LegalEntity,(1..1),"The corporate or sovereign entity on which you are buying or selling protection and any successor that assumes all or substantially all of its contractual and other obligations. It is vital to use the correct legal name of the entity and to be careful not to choose a subsidiary if you really want to trade protection on a parent company. Please note, Reference Entities cannot be senior or subordinated. It is the obligations of the Reference Entities that can be senior or subordinated. ISDA 2003 Term: Reference Entity."
attribute,cdm.product.asset,ReferencePair,referenceObligation,ReferenceObligation,(0..1),"The Reference Obligation is a financial instrument that is either issued or guaranteed by the reference entity. It serves to clarify the precise reference entity protection is being offered upon, and its legal position with regard to other related firms (parents/subsidiaries). Furthermore the Reference Obligation is ALWAYS deliverable and establishes the Pari Passu ranking (as the deliverable bonds must rank equal to the reference obligation). ISDA 2003 Term: Reference Obligation."
attribute,cdm.product.asset,ReferencePair,noReferenceObligation,boolean,(0..1),Used to indicate that there is no Reference Obligation associated with this Credit Default Swap and that there will never be one.
attribute,cdm.product.asset,ReferencePair,entityType,EntityTypeEnum,(1..1),Defines the reference entity types corresponding to a list of types in the ISDA First to Default documentation.
data type,cdm.product.asset,ReferencePool,,,,This type contains all the reference pool items to define the reference entity and reference obligation(s) in the basket.
attribute,cdm.product.asset,ReferencePool,referencePoolItem,ReferencePoolItem,(1..*),This type contains all the constituent weight and reference information.
data type,cdm.product.asset,ReferencePoolItem,,,,This type contains all the constituent weight and reference information.
attribute,cdm.product.asset,ReferencePoolItem,constituentWeight,ConstituentWeight,(0..1),"Describes the weight of each of the constituents within the basket. If not provided, it is assumed to be equal weighted."
attribute,cdm.product.asset,ReferencePoolItem,referencePair,ReferencePair,(1..1),
attribute,cdm.product.asset,ReferencePoolItem,protectionTermsReference,ProtectionTerms,(0..1),Reference to the documentation terms applicable to this item.
attribute,cdm.product.asset,ReferencePoolItem,cashSettlementTermsReference,CashSettlementTerms,(0..1),Reference to the cash settlement terms applicable to this item.
attribute,cdm.product.asset,ReferencePoolItem,physicalSettlementTermsReference,PhysicalSettlementTerms,(0..1),Reference to the physical settlement terms applicable to this item.
data type,cdm.product.asset,SettledEntityMatrix,,,,A class to specify the Relevant Settled Entity Matrix.
attribute,cdm.product.asset,SettledEntityMatrix,matrixSource,SettledEntityMatrixSourceEnum,(1..1),Relevant settled entity matrix source.
attribute,cdm.product.asset,SettledEntityMatrix,publicationDate,date,(0..1),"Specifies the publication date of the applicable version of the matrix. When this element is omitted, the Standard Terms Supplement defines rules for which version of the matrix is applicable."
data type,cdm.product.asset,Tranche,,,,The class to represent a CDS Tranche.
attribute,cdm.product.asset,Tranche,attachmentPoint,number,(1..1),"Lower bound percentage of the loss that the Tranche can endure, expressed as a decimal. An attachment point of 5% would be represented as 0.05. The difference between Attachment and Exhaustion points is called the width of the Tranche."
attribute,cdm.product.asset,Tranche,exhaustionPoint,number,(1..1),"Upper bound percentage of the loss that the Tranche can endure, expressed as a decimal. An exhaustion point of 5% would be represented as 0.05. The difference between Attachment and Exhaustion points is call the width of the Tranche."
attribute,cdm.product.asset,Tranche,incurredRecoveryApplicable,boolean,(0..1),"Outstanding Swap Notional Amount is defined at any time on any day, as the greater of: (a) Zero; If Incurred Recovery Amount Applicable: (b) The Original Swap Notional Amount minus the sum of all Incurred Loss Amounts and all Incurred Recovery Amounts (if any) determined under this Confirmation at or prior to such time.Incurred Recovery Amount not populated: (b) The Original Swap Notional Amount minus the sum of all Incurred Loss Amounts determined under this Confirmation at or prior to such time."
data type,cdm.product.asset,DividendCurrency,,,,"A class to specify the currency in which the dividends will be denominated, i.e. either in the dividend currency or in a currency specified as part of the contract."
attribute,cdm.product.asset,DividendCurrency,currency,string,(0..1),"The currency in which the dividend is denominated. The list of valid currencies is not presently positioned as an enumeration as part of the CDM because that scope is limited to the values specified by ISDA and FpML. As a result, implementers have to make reference to the relevant standard, such as the ISO 4217 standard for currency codes."
attribute,cdm.product.asset,DividendCurrency,determinationMethod,DeterminationMethodEnum,(0..1),"Specifies the method according to which the dividend is determined, e.g. the dividend currency."
attribute,cdm.product.asset,DividendCurrency,currencyReference,string,(0..1),Reference to a currency specified elsewhere in the document
data type,cdm.product.asset,DividendDateReference,,,,"A class to specify the dividend date by reference to another date, with the ability to apply and offset. This class doesn't exist in FpML and is meant to simplify the choice constraint associated with the DividendPaymentDate class."
attribute,cdm.product.asset,DividendDateReference,dateReference,DividendDateReferenceEnum,(1..1),"Specification of the dividend date using an enumeration, with values such as the pay date, the ex-date or the record date."
attribute,cdm.product.asset,DividendDateReference,paymentDateOffset,Offset,(0..1),Only to be used when SharePayment has been specified in the dividendDateReference element. The number of Currency Business Days following the day on which the Issuer of the Shares pays the relevant dividend to holders of record of the Shares.
data type,cdm.product.asset,DividendPaymentDate,,,,"A class describing the date on which the dividend will be paid/received. This class is also used to specify the date on which the FX rate will be determined, when applicable."
attribute,cdm.product.asset,DividendPaymentDate,dividendDateReference,DividendDateReference,(0..1),
attribute,cdm.product.asset,DividendPaymentDate,dividendDate,AdjustableOrRelativeDate,(0..1),
data type,cdm.product.asset,DividendReturnTerms,,,,"A class describing the conditions governing the payment of dividends to the receiver of the equity return, with the exception of the dividend payout ratio, which is defined for each of the underlying components."
attribute,cdm.product.asset,DividendReturnTerms,dividendPayoutRatio,DividendPayoutRatio,(0..*),"Specifies the dividend payout ratio associated with each underlier. In FpML 5.10 the payout is positioned at the underlier level, although there is an intent to reconsider this approach and position it at the leg level. This is approach adopted by the CDM."
attribute,cdm.product.asset,DividendReturnTerms,dividendReinvestment,boolean,(0..1),Boolean element that defines whether the dividend will be reinvested or not.
attribute,cdm.product.asset,DividendReturnTerms,dividendEntitlement,DividendEntitlementEnum,(0..1),Defines the date on which the receiver of the equity return is entitled to the dividend.
attribute,cdm.product.asset,DividendReturnTerms,dividendAmountType,DividendAmountTypeEnum,(0..1),Specifies whether the dividend is paid with respect to the Dividend Period.
attribute,cdm.product.asset,DividendReturnTerms,performance,calculation,(0..1),"Performance calculation, in accordance with Part 1 Section 12 of the 2018 ISDA CDM Equity Confirmation for Security Equity Swap, Para 75. 'Equity Performance'. Cumulative performance is used as a notional multiplier factor on both legs of an Equity Swap."
attribute,cdm.product.asset,DividendReturnTerms,firstOrSecondPeriod,DividendPeriodEnum,(0..1),2002 ISDA Equity Derivatives Definitions: Dividend Period as either the First Period or the Second Period. | 
attribute,cdm.product.asset,DividendReturnTerms,extraordinaryDividendsParty,AncillaryRoleEnum,(0..1),Specifies the party which determines if dividends are extraordinary in relation to normal levels.
attribute,cdm.product.asset,DividendReturnTerms,excessDividendAmount,DividendAmountTypeEnum,(0..1),Determination of Gross Cash Dividend per Share.
attribute,cdm.product.asset,DividendReturnTerms,dividendCurrency,DividendCurrency,(0..1),"Specifies the currency in which the dividend will be denominated, e.g. the dividend currency, or a specified currency. This class is not specified as such in FpML, which makes use of the CurrencyAndDeterminationMethod.model to specify such terms."
attribute,cdm.product.asset,DividendReturnTerms,nonCashDividendTreatment,NonCashDividendTreatmentEnum,(0..1),Specifies the treatment of Non-Cash Dividends.
attribute,cdm.product.asset,DividendReturnTerms,dividendComposition,DividendCompositionEnum,(0..1),Specifies how the composition of Dividends is to be determined.
attribute,cdm.product.asset,DividendReturnTerms,specialDividends,boolean,(0..1),Specifies the method according to which special dividends are determined.
attribute,cdm.product.asset,DividendReturnTerms,materialDividend,boolean,(0..1),"If present and true, then material non cash dividends are applicable."
attribute,cdm.product.asset,DividendReturnTerms,dividendPeriod,DividendPeriod,(0..*),"One to many time bounded dividend payment periods, each with a dividend payment date per period."
data type,cdm.product.asset,DividendPeriod,,,,"Time bounded dividend payment periods, each with a dividend payment date per period."
attribute,cdm.product.asset,DividendPeriod,startDate,DividendPaymentDate,(0..1),Dividend period start date.
attribute,cdm.product.asset,DividendPeriod,endDate,DividendPaymentDate,(0..1),Dividend period end date.
attribute,cdm.product.asset,DividendPeriod,dateAdjustments,BusinessDayAdjustments,(1..1),Date adjustments for all unadjusted dates in this dividend period.
attribute,cdm.product.asset,DividendPeriod,basketConstituent,Product,(0..1),"For basket undeliers, reference to the basket component which is paying dividends in the specified period."
attribute,cdm.product.asset,DividendPeriod,dividendPaymentDate,DividendPaymentDate,(1..1),Specifies when the dividend will be paid to the receiver of the equity return. Has the meaning as defined in the ISDA 2002 Equity Derivatives Definitions. Is not applicable in the case of a dividend reinvestment election.
attribute,cdm.product.asset,DividendPeriod,dividendValuationDate,AdjustableOrRelativeDate,(0..1),Specifies the dividend valuation dates of the swap.
data type,cdm.product.asset,PriceReturnTerms,,,,
attribute,cdm.product.asset,PriceReturnTerms,valuationPriceInitial,PriceSchedule,(0..1),"Specifies the initial valuation price(s) of the underlier. This price can be expressed either as an actual amount/currency, as a determination method, or by reference to another value specified in the swap document."
attribute,cdm.product.asset,PriceReturnTerms,valuationPriceFinal,PriceSchedule,(0..1),"2018 ISDA CDM Equity Confirmation for Security Equity Swap: Final Price | Specifies the final valuation price of the underlier. This price can be expressed either as an actual amount/currency, as a determination method, or by reference to another value specified in the swap document."
attribute,cdm.product.asset,PriceReturnTerms,returnType,ReturnTypeEnum,(1..1),The type of return associated with the equity swap.
attribute,cdm.product.asset,PriceReturnTerms,conversionFactor,number,(0..1),Defines the conversion applied if the quantity unit on contract is different from unit on referenced underlier.
attribute,cdm.product.asset,PriceReturnTerms,performance,calculation,(0..1),"Performance calculation, in accordance with Part 1 Section 12 of the 2018 ISDA CDM Equity Confirmation for Security Equity Swap, Para 75. 'Equity Performance'. Cumulative performance is used as a notional multiplier factor on both legs of an Equity Swap."
data type,cdm.product.asset,ReturnTermsBase,,,,"Contains all common elements in variance, volatility and correlation return Terms."
attribute,cdm.product.asset,ReturnTermsBase,valuationTerms,ValuationTerms,(1..1),Contains all non-date valuation information.
attribute,cdm.product.asset,ReturnTermsBase,annualizationFactor,int,(0..1),This specifies the numerator of an annualization factor. Frequently this number is equal to the number of observations of prices in a year e.g. 252.
attribute,cdm.product.asset,ReturnTermsBase,dividendApplicability,DividendApplicability,(0..1),The parameters which define whether dividends are applicable
attribute,cdm.product.asset,ReturnTermsBase,equityUnderlierProvisions,EquityUnderlierProvisions,(0..1),Contains Equity underlier provisions regarding jurisdiction and fallbacks.
attribute,cdm.product.asset,ReturnTermsBase,sharePriceDividendAdjustment,boolean,(0..1),Indicates whether the price of shares is adjusted for dividends or not.
attribute,cdm.product.asset,ReturnTermsBase,expectedN,int,(1..1),Expected number of trading days.
attribute,cdm.product.asset,ReturnTermsBase,initialLevel,number,(0..1),"Contract will strike off this initial level. Providing just the initialLevel without initialLevelSource, infers that this is AgreedInitialPrice - a specified Initial Index Level."
attribute,cdm.product.asset,ReturnTermsBase,initialLevelSource,DeterminationMethodEnum,(0..1),"In this context, this is AgreedInitialPrice - a specified Initial Index Level."
attribute,cdm.product.asset,ReturnTermsBase,meanAdjustment,boolean,(0..1),"Specifies whether Mean Adjustment is applicable or not in the calculation of the Realized Volatility, Variance or Correlation"
attribute,cdm.product.asset,ReturnTermsBase,performance,calculation,(0..1),"Performance calculation, in accordance with Part 1 Section 12 of the 2018 ISDA CDM Equity Confirmation for Security Equity Swap, Para 75. 'Equity Performance'. Cumulative performance is used as a notional multiplier factor on both legs of an Equity Swap."
data type,cdm.product.asset,VarianceReturnTerms,,,,
attribute,cdm.product.asset,VarianceReturnTerms,varianceStrikePrice,Price,(0..1),Variance Strike Price in accordance with the ISDA 2011 Equity Derivatives Definitions.
attribute,cdm.product.asset,VarianceReturnTerms,volatilityStrikePrice,Price,(0..1),Volatility Strike Price in accordance with the ISDA 2011 Equity Derivatives Definitions.
attribute,cdm.product.asset,VarianceReturnTerms,varianceCapFloor,VarianceCapFloor,(0..1),"Contains possible barriers for variance products, both variance-based and underlier price based"
attribute,cdm.product.asset,VarianceReturnTerms,volatilityCapFloor,VolatilityCapFloor,(0..1),Contains containing volatility-based barriers
attribute,cdm.product.asset,VarianceReturnTerms,vegaNotionalAmount,NonNegativeQuantitySchedule,(0..1),Vega Notional represents the approximate gain/loss at maturity for a 1% difference between RVol (realised vol) and KVol (strike vol). It does not necessarily represent the Vega Risk of the trade.
attribute,cdm.product.asset,VarianceReturnTerms,exchangeTradedContractNearest,Observable,(0..1),Specification of the exchange traded contract nearest.
data type,cdm.product.asset,VolatilityReturnTerms,,,,
attribute,cdm.product.asset,VolatilityReturnTerms,volatilityStrikePrice,Price,(1..1),Volatility Strike Price in accordance with the ISDA 2011 Equity Derivatives Definitions.
attribute,cdm.product.asset,VolatilityReturnTerms,volatilityCapFloor,VolatilityCapFloor,(0..1),Contains volatility-based barriers
attribute,cdm.product.asset,VolatilityReturnTerms,exchangeTradedContractNearest,Observable,(0..1),Specification of the exchange traded contract nearest.
data type,cdm.product.asset,CorrelationReturnTerms,,,,
attribute,cdm.product.asset,CorrelationReturnTerms,correlationStrikePrice,Price,(1..1),Correlation Strike Price in accordance with the ISDA 2011 Equity Derivatives Definitions.
attribute,cdm.product.asset,CorrelationReturnTerms,boundedCorrelation,NumberRange,(0..1),"Describes correlation bounds, which form a cap and a floor on the realized correlation."
attribute,cdm.product.asset,CorrelationReturnTerms,numberOfDataSeries,int,(0..1),"Number of data series, normal market practice is that correlation data sets are drawn from geographic market areas, such as America, Europe and Asia Pacific, each of these geographic areas will have its own data series to avoid contagion."
data type,cdm.product.asset,ValuationTerms,,,,
attribute,cdm.product.asset,ValuationTerms,futuresPriceValuation,boolean,(0..1),"The official settlement price as announced by the related exchange is applicable, in accordance with the ISDA 2002 definitions."
attribute,cdm.product.asset,ValuationTerms,optionsPriceValuation,boolean,(0..1),"The official settlement price as announced by the related exchange is applicable, in accordance with the ISDA 2002 definitions"
attribute,cdm.product.asset,ValuationTerms,numberOfValuationDates,int,(0..1),The number of valuation dates between valuation start date and valuation end date.
attribute,cdm.product.asset,ValuationTerms,dividendValuationDates,AdjustableRelativeOrPeriodicDates,(0..1),Specifies the dividend valuation dates of the swap.
attribute,cdm.product.asset,ValuationTerms,fPVFinalPriceElectionFallback,FPVFinalPriceElectionFallbackEnum,(0..1),Specifies the fallback provisions for Hedging Party in the determination of the Final Price.
attribute,cdm.product.asset,ValuationTerms,multipleExchangeIndexAnnexFallback,boolean,(0..1),"For an index option transaction, a flag to indicate whether a relevant Multiple Exchange Index Annex is applicable to the transaction. This annex defines additional provisions which are applicable where an index is comprised of component securities that are traded on multiple exchanges."
attribute,cdm.product.asset,ValuationTerms,componentSecurityIndexAnnexFallback,boolean,(0..1),"For an index option transaction, a flag to indicate whether a relevant Component Security Index Annex is applicable to the transaction."
data type,cdm.product.asset,EquityUnderlierProvisions,,,,
attribute,cdm.product.asset,EquityUnderlierProvisions,multipleExchangeIndexAnnexFallback,boolean,(0..1),"For an index option or swap transaction, a flag to indicate whether a relevant Multiple Exchange Index Annex is applicable to the transaction. This annex defines additional provisions which are applicable where an index is comprised of component securities that are traded on multiple exchanges."
attribute,cdm.product.asset,EquityUnderlierProvisions,componentSecurityIndexAnnexFallback,boolean,(0..1),"For an index option or swap transaction, a flag to indicate whether a relevant Component Security Index Annex is applicable to the transaction."
attribute,cdm.product.asset,EquityUnderlierProvisions,localJurisdiction,string,(0..1),The ISO 3166 standard code for the country within which the postal address is located.
attribute,cdm.product.asset,EquityUnderlierProvisions,relevantJurisdiction,string,(0..1),The ISO 3166 standard code for the country within which the postal address is located.
data type,cdm.product.asset,VarianceCapFloor,,,,
attribute,cdm.product.asset,VarianceCapFloor,varianceCap,boolean,(1..1),"If present and true, then variance cap is applicable."
attribute,cdm.product.asset,VarianceCapFloor,unadjustedVarianceCap,number,(0..1),"For use when varianceCap is applicable. Contains the scaling factor of the Variance Cap that can differ on a trade-by-trade basis in the European market. For example, a Variance Cap of 2.5^2 x Variance Strike Price has an unadjustedVarianceCap of 2.5."
